id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,k,b,alpha,ll,model
1,-5.71335301987368,1.37009538229999,1.72966780340874,0.0605319590891188,-0.104355073481666,1.11654086521346,-2.18607203831878,-3.96811564602782,-10.6382089376927,-0.0327613155069534,22.1665593131497,-0.333647715144738,3.74473204621778,0.942877253569395,-478.325064426342,ts2_flex_decay_stop
2,-0.36957373762247,-4.36917822768174,-0.6891597277816,7.02243852430817,-0.185272492928006,-0.561819840186813,-18.3216637596825,10.3828902318904,11.7159794875114,0.959430733035286,-0.273818937725394,-0.160611995773494,4.07826246710491,0.981867244368022,-496.328974765196,ts2_flex_decay_stop
3,-2.28711503416128,-0.49796723412273,0.789477032701564,0.498376668106643,-0.0985985094352735,-0.00424289434820665,-3.24787018479635,-0.293711157921746,-3.75427099657262,0.104882256535539,5.16827709351032,-0.356330286529288,4.376415782868,0.999999986576848,-554.640563716055,ts2_flex_decay_stop
4,-0.635791282122019,-1.40423695819524,-0.115444156153613,0.730135669456215,-0.0601382588205901,-0.121082794506888,-3.17195512679743,-0.912836624845287,37888.6527061985,0.425455933342978,6.85969507903103,-3208.00268711749,1292.55502642335,0.999999996786954,-636.581728612999,ts2_flex_decay_stop
5,-2.55307971250153,0.0295562864932276,1.00477140026243,1.39665097931672e-4,-0.0328875924166597,0.516364061362269,-8.74556843400664,3.22418462131884,2.52124849230755,0.316117249765999,6.07621003053766,-0.44832128731756,4.38973526254688,0.989446571279744,-530.096765056314,ts2_flex_decay_stop
7,-2.29775466001434,-1.42669307870632,0.415896457214239,1.50296211850885,-0.0324706814636723,0.305299463889818,-1.33717796990004,-58.463574527633,-239.493244319,-0.0116301705730392,302.312233077036,-0.263503251921292,3.93064999610212,0.940775770991793,-525.407371210654,ts2_flex_decay_stop
8,-4.97205653507309,-2.07202539201053,-0.115145219511433,3.67158419921315,-0.111583830233751,0.495733247584279,-3.14748526889653,4.1619933375708,3.81265903952305,-0.138217299193443,0.271845166153781,-0.0929142540340252,4.60857397357775,0.999999659037142,-471.25947447189,ts2_flex_decay_stop
9,-2.89525647479257,1.72714276051098,0.976496819715237,-0.455745160221787,-0.123327513423478,0.234379644301602,-12.5088031770204,4.29054151682358,8.6178099959003,3.21353936712446,-6.30394650421592,-3293.42271101424,-282.410120357093,0.955422717213136,-545.189987924647,ts2_flex_decay_stop
10,-3.08348645592238,1.54821430342181,1.00786441163934,0.283729088885294,-0.0662697530201606,-0.511149585368107,-4.80102003739098,-5.17638386586648,-22.448594446143,0.202831867419507,28.8755335848632,-0.735826486616838,5.48745697083738,0.957829352679105,-486.676905562078,ts2_flex_decay_stop
11,-4.06482531237306,-0.797319755408264,1.91744813218118,0.694614088716735,-0.0527245799743994,-0.167104156483431,-4.88165930625714,0.867910265288594,0.322144325449804,0.400986848639872,1.48797323149477,-0.849084735872164,3.27888549326003,0.909279913117849,-463.430753868287,ts2_flex_decay_stop
12,-4.14600702088358,-2.20727078656453,1.68944542064783,2.53324796437544,-0.129912071964215,0.083306113657683,-225.44338312733,132.739287927507,-59.0096995592062,10.4287284393673,212.100635759609,-0.0719126601243105,3.76477411115452,0.951805302809313,-306.811211490847,ts2_flex_decay_stop
13,-6.37721045188343,2.81796186626768,1.33246172246916,-0.1914468900721,-0.0465312361979395,0.533316294376082,-353.915288049972,326.159221065945,348.354709931702,18.5700060379553,-41.6916743548577,-0.361980152177116,3.98470268584481,0.999997496594532,-482.807638432691,ts2_flex_decay_stop
14,-6.02061555514061,-0.90121633442412,0.588413255650526,1.82072825415589,-0.00789281888544881,0.605629677416807,-43.6323070016421,42.1491892305955,-37.8408124784839,-10.7560155993086,108.458899021464,-0.170232907968845,2.90909033881841,0.965090465795046,-457.215218475335,ts2_flex_decay_stop
15,-3.55872261320369,-2.20328254270763,0.785464121284461,2.59638542432554,-0.159007318399712,0.877722565281689,-6.98538999561513,5.62228345319563,7.61331539179092,0.320429274442217,-0.621396467479307,-0.215069222179836,4.30192965050483,0.999999953594718,-512.732348322026,ts2_flex_decay_stop
16,-1.52285752012018,-0.448055368786295,0.225430010301875,0.731913046348559,-0.0954433672497899,-0.0277079229970388,-2.17795554520351,-7.54455584714145,-30.7349344580341,0.0924497238993591,26.8512943460148,-0.789018912987286,4.70050848011011,0.930580902574332,-571.671564611948,ts2_flex_decay_stop
17,-3.24095864832494,-0.395868343027915,0.632133589123915,1.30182285008072,-0.0900435601416371,0.452696193591658,-70.4359085829959,69.6214481036628,40.6739514789826,-8.93390370989547,88.6334142133246,-0.0768063355447246,3.32877851992609,0.966487742468422,-513.866079756106,ts2_flex_decay_stop
18,-3.15396603099412,-0.408001115620063,0.64165082622796,0.977606746727386,-0.091939307557895,0.566203361040059,-35.5243958557401,34.4083656437708,-49.4720938715821,-19.0380276942208,190.044167217936,-0.248145986001033,4.014240784056,0.99999962454393,-499.810275029493,ts2_flex_decay_stop
19,-4.43085671908125,0.896080565356295,1.71250634453124,-0.0610282743860684,-0.0912214493230527,0.485784021941989,-14.8844894761671,-80.1122419908187,-241.049911028708,3.61539456304412,203.307489710256,-2.11559186367542,2.09250044083416,0.914671620312075,-430.759366355039,ts2_flex_decay_stop
20,-5.44574595563963,-0.0664698332591798,1.76936275237831,0.0428914942219805,-0.0468033641749207,0.626207049582949,-1.41894041622744,-59.3806097176977,-246.489606285817,0.0678572689381347,156.153806449814,-4195.55374365901,28225.2521914172,0.950397662217052,-492.927996935523,ts2_flex_decay_stop
21,-3.39844256160181,-0.326410408746651,1.05311455561596,0.865415779534074,-0.0974581354737978,-0.127701578852387,-30.3992234112132,-28.4631027986757,-290.442266732297,1.56562466762579,264.832783761112,-0.251900707855007,3.32289566369859,0.978355604247978,-439.761439502854,ts2_flex_decay_stop
22,2.33713479817193,-0.544794690507456,-0.00243095388794489,0.249722382280462,-0.289003115248204,0.0990711173453279,-8.8146046760571,1.16572295038818,-6.35518308992994,0.935749748471898,11.786031987512,-3688.83685737142,6043.82100844761,0.979255526490537,-410.829131732803,ts2_flex_decay_stop
23,-0.452759102305793,0.619293537964728,0.369257656769662,-0.0138504553936502,-0.185925499901055,0.539847389761564,-9.96213279519798,2.49520279416713,4.01406611407389,1.18785299449815,1.39414981732729,-3.08437620223174,4.22952407295497,0.999999997142421,-539.779725101665,ts2_flex_decay_stop
24,-4.22957859739888,1.11476373866237,0.683577796791779,0.584484813026303,-0.0544936719930399,-0.071489909760345,-10.0263754202616,-135.512736798027,-437.367496328945,0.421143356923907,725.2987437821,-0.413090119516595,4.78974957047517,0.919355607917062,-464.741861280104,ts2_flex_decay_stop
25,-2.70662388249155,-0.0242008659399459,0.544782957078645,0.132146145283921,-0.0925068738049754,0.276507728500144,-11.7235098347879,8.20400249251812,7.76441648388351,0.595847024368281,2.15239975792315,-0.603660002522635,1.33914169634441,0.971526864936373,-602.78668380282,ts2_flex_decay_stop
26,-2.62781853090383,-3.02156370652051,0.645966124462932,4.96932482388229,-0.144133684126642,0.915015103346557,-1.98302552086342,-15.6008632041732,-3.4185414376803,1.18721271201446,1.95876101629384,-0.427260164706331,1.57932031660425,0.911495131694283,-362.660402790136,ts2_flex_decay_stop
27,-1.53572389108877,-0.827265293601146,0.84361380714017,0.304431700730744,-0.0715171452199799,-0.333813506860083,-4.48686364938111,1776.34297563689,-112.496981366128,0.643993533279234,96.7095404196374,-5532.75521486694,5265.71909019345,0.895993826615448,-535.122034748675,ts2_flex_decay_stop
28,0.0998934305938136,0.225096163504265,0.570259010790298,-0.082417270978089,-0.311692638443838,0.559187776694008,-8.61723579200827,2.94250088113323,5.39262605493136,2.44367223270434,-1.82162566552965,-3167.92728784976,3083.73643451439,0.910291352256705,-424.429277199611,ts2_flex_decay_stop
29,-3.79183756087394,-0.596467703505804,1.7811363961077,0.373435521307143,-0.0312649676195777,0.0334153740241188,-1.7979948897527,-55.7224666217404,-168.72963221946,0.159274342704385,211.226208521107,-6830.25425881824,22988.7910401223,0.924237690161015,-421.512264585802,ts2_flex_decay_stop
30,-4.14198428358864,-2.91767569078835,0.922490942123853,1.8518824820715,-0.0299636837559745,-0.220896420929399,-3.32444711386478,321.3079552706,762.016986770708,0.0954541452353907,-172.855870373564,-0.287084499838943,2.22826956110446,0.952373969054663,-438.980822526582,ts2_flex_decay_stop
31,-1.22911841422816,-2.40260724097984,0.116293053769622,2.21044714503135,-0.155435839007313,-0.219884488236457,-34.7811946062307,34.6023350416584,29.4138154528093,-0.787894812256705,7.95207448178207,-0.0630066708680269,3.96779354660457,0.980065056785141,-454.639201839387,ts2_flex_decay_stop
