id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
14,49,7762.115002884163,7890.366993636611,7731.902746285657,7986.389787782526,6612.6303708941405,7145.568679541045,6982.397620345443,7126.451860909399,6981.333522870274,7145.123199218473,7279.770073031825,7706.322393771871,7301.653289618833,7673.809010599079,7414.0412157384335,7670.527409039041
90,49,5830.048781583902,6081.75638031043,5832.072080970458,6074.743248335687,4709.112528115659,5714.211517156129,5681.737447614319,5693.724969931223,4783.888784793205,5705.145222029492,4973.566639555977,5678.954536856117,5555.452361682456,5512.3957697891665,5400.767667973556,5661.698514470862
1,50,5867.881724446723,5946.220412431075,5853.988168043635,6135.715654896268,4985.236421258316,4740.365624990124,5168.257435992113,4739.995090189697,5471.882082011175,4747.058724721921,5931.58938746272,5777.08431065337,5048.849736817827,5752.079705086851,5396.040525911585,5760.015003162279
45,50,4367.641938218328,4714.972623910369,4327.330952838466,4523.900806662957,3890.2012488918144,3832.483958692444,4021.5930729084334,3830.1310539414435,3987.2424776686757,3828.9772582475316,4419.961549456382,4288.2994171374685,4214.601703594326,4263.325958423798,4339.5848485899,4240.950440503456
95,51,4630.617877940032,4762.1941131835765,4614.815961377205,4957.651107362625,4102.977311457381,4369.381193790887,4221.2954479588725,4268.599010491993,4311.807843759432,4364.426341183568,4565.55321528357,4568.309139954513,4300.928877675113,4511.485426819879,4248.133807669445,4566.244679824958
5,54,6775.004381274799,6732.012093323081,6788.449389426286,7119.2533479425265,2536.796204955352,4779.503573324212,6095.430912479932,5864.4870210394,5236.712927704934,5841.25148153689,5997.310219516234,5842.795425170743,4167.3274061702705,4888.484682462955,4784.569380335009,5840.731724622015
18,56,7089.712474402285,7202.393690775262,7094.556089815655,7393.8690159997395,4715.767903820321,6369.1162897034455,4870.2801740068735,4735.329932554785,6367.013196874312,4720.534488422048,6923.571052148901,6602.183885614653,6044.98405981553,6268.942861349164,6461.822122677954,6523.317686847234
77,56,7075.295452198189,7165.984886933131,7083.372605967306,7441.813747784991,3576.4947335017873,6483.630653063314,6121.664174963427,6457.299361042026,4399.204682470621,6481.668467718074,5577.998228476896,6761.358475399732,5895.517254310532,6429.293403515034,4984.523074217267,6546.411700897558
91,56,4582.851659394974,4835.1139058095005,4575.575139352702,4802.4486949518905,4156.697358103148,4185.954977002926,4131.8689081051925,4172.1685903008965,4501.658125433384,4189.113675298175,4497.09594409974,4466.0890253063,4383.970751893784,4431.677905085612,4501.366511672864,4464.018422564756
3,57,7559.557802512089,7741.412755684744,7562.568074589724,7819.403718725775,6045.898930549561,6539.435521930085,6465.02087105384,6461.801158672404,6942.050238356938,6535.686226248752,7219.818422015485,7363.656464068424,6595.355642045504,7393.638740227756,7084.417547582157,7395.697668335066
16,57,6917.328707377926,6941.485966793686,6926.990005204788,7158.548300041484,4558.56871468754,5791.627508008378,6706.577373268853,5826.7503125429475,5823.102663475224,5836.8159035305425,6733.049400231385,6762.988582704914,5899.353921530042,6778.912464862994,5599.525574288664,6799.973726859926
28,57,3250.0496857901485,3369.9015373058314,3249.5647861538987,3365.094054783157,3044.910942821534,3142.1415603530336,3126.766394555137,3129.744884618743,3140.9475752567873,3132.589265267383,2890.25930016846,3117.023020364586,3053.494446897479,3061.462600180347,3043.277735088719,3114.9342540956413
23,58,4877.219951240932,5044.672146673013,4879.25497207546,5168.687698674625,3695.8085599895544,4709.123008933226,4708.050870914405,4725.64352589653,4042.1718991153407,4750.085955063043,4110.759821508952,4347.912840093126,4085.9241946873894,4068.111208088737,3959.724074745481,4337.8694554850745
26,58,2458.9506940679566,3028.4878804692635,2419.7918307545538,2537.789500597849,2459.5921785866753,2447.832168377483,2378.7082601547995,2407.4173087043614,2362.4434289761875,2445.769258918909,2499.627508875581,2430.286723270879,2363.7670878855874,2327.9156904984493,2464.7899612032793,2358.1795416909135
73,59,8107.87584987521,8445.09329254866,8083.605142986527,8339.688900008665,6849.435133340545,6858.150880913315,6831.0308418893155,6858.273785876945,7179.892595849194,6865.650271766428,7993.786214703539,7933.860039023193,7724.4485722632735,7921.295702673474,7748.010452000003,7930.897308632081
75,59,7133.742141289519,7237.643284522284,7133.168669708388,7362.111933273197,6786.922238336868,6530.038042288029,6611.9321642197265,6525.84904809221,6562.62183387803,6528.907811800594,6944.968413970837,7098.995161539182,6857.1729099300765,7084.673832112954,6895.837869504314,7096.955933528862
86,59,9107.272287518343,9127.266406979175,9109.189159520665,9322.1499291627,8457.02654037832,8571.256100784814,8533.521504181948,8568.5732333034,8360.899786961078,8568.571066385251,9146.731461310765,9068.718203014247,8909.764215556688,9053.00735248074,8782.128961921198,9066.69031216898
7,60,5338.590521865259,5477.658263520958,5311.233952225833,5484.747996614598,4762.518694188538,4742.720441400206,5056.995111795974,4731.870647619319,4895.9738734928,4752.046167400227,5124.822177640268,5195.363366882376,4530.598329052095,5175.967382807679,4723.156391653046,5180.22149475824
15,60,6776.15529406036,6728.405495048571,6798.844964659222,7258.224908885426,5865.771870250648,6108.4658195465845,5867.613614089464,5927.397259483087,6048.077155090368,6107.233397902382,6631.52641526029,6997.081179939244,6495.268790476965,6814.027261001783,6332.788014266576,6842.854128600153
49,60,4302.141912052093,4459.683628502718,4287.039670847451,4577.447825736182,3571.4002272523658,3902.029344831858,3928.005404068369,3854.763161663789,3667.446703159519,3876.210470728923,4227.840637492605,3881.554392431518,3810.045137861627,3826.6462473206775,3986.9211244892513,3868.035866496119
64,60,5187.686562496066,5273.105281394463,5194.27916638179,5543.339407466715,3507.15175502008,4377.216967838498,4466.6818532059315,4342.39395948292,3680.41837991434,4332.635970180835,4829.6392903338,4772.543842220808,4133.17844561778,4366.153775444198,3852.8807791897857,4769.128493853969
78,60,5326.562081505278,5456.364218956141,5330.137842608761,5681.59944069384,4398.495255261304,4431.577658965288,4860.147983989303,4426.463926958203,4487.8087593597465,4432.559185517519,5448.25622466615,5391.069136529506,4918.1804074164165,5315.328881242793,4879.161911008193,5384.561493502587
19,61,3476.474718816938,3887.6376020654125,3464.0208060173795,3529.5459662173457,3362.7630790531052,3176.9901020481852,3148.058397347125,3149.2431557343166,3362.187740150993,3175.1393717384385,3489.748421118465,3396.314844919191,3301.127539065979,3347.975947745415,3284.2568425970667,3396.4899716458267
35,61,8427.1994265551,7512.429852420468,8471.27317922435,8928.620465410384,4520.444489609378,7263.947374156661,6458.340121319178,7182.087055214645,6066.22554921142,4694.221539858053,7971.983564382223,8627.909229339437,7944.226286149049,8638.680438793146,6451.591427745263,8726.564022041375
107,61,7779.696805557336,7452.877041170867,7790.3229542244635,8248.581014521174,5817.629037938878,5879.654002642321,6002.244379673184,5990.598198171171,6355.218222670975,5877.624276542433,7851.255522566751,7938.358535173807,7523.205064969562,7932.594205968729,7147.044212493571,7995.0951066387825
31,62,7193.550927950471,7378.37830897717,7176.617960098564,7368.662810547868,6999.873792337903,6859.4219945262475,6977.278065346042,6861.192259100909,6680.669042138014,6860.492607671688,7127.27413758132,7095.0002894666295,7049.296966338647,7106.226878488326,6466.7311546001265,7092.983837807081
89,62,5518.96041805237,5351.439741172291,5485.923137210828,5766.588725298742,4345.358446164879,4809.439364079817,4693.965944759004,4814.712436476135,4762.908137937391,4816.855744557706,5444.916358383043,5397.722283880939,4913.097074163674,5294.86120887613,5168.308944264519,5271.582044964468
105,62,6621.827991901773,7046.290319462332,6623.852032923442,6642.424660163635,4343.469284149597,5970.16583521872,5955.425151110351,5979.44649844091,4241.9027071278115,5965.845515059152,6194.632778605983,6045.273833642773,5876.7975154786955,5891.014496834855,5410.373360871366,5968.087391437905
101,63,5734.170229901743,4398.8450112607125,5744.804642661628,5020.400050237546,2167.134111544689,5272.9954814218445,4299.52212631557,5213.253494890999,3222.6034062317835,5270.9585428714445,2327.583800235371,3486.5217981938968,2796.4640362764712,5403.855224504958,4230.273988922856,3484.4678647461155
27,64,4893.776523655287,4983.161090470051,4896.998167291611,5134.132456216706,4469.98899544864,4521.851836389173,4412.021548710312,4492.338689142643,4566.524746683978,4523.986950520394,4648.5034434233985,4944.003367000212,4698.603371725015,4849.341537222598,4456.79341412393,4909.839351027965
38,64,6870.960778072846,7192.417078989523,6871.891686031344,7025.919648812144,5883.248675579786,6349.9560625691265,6403.409006088037,6406.953647495363,5439.693327620091,6387.672127287887,6667.775631545517,6561.987762943888,6350.177754872942,6471.718217897619,6311.359900025053,6591.828314144631
50,64,4548.61951165687,4933.731255560524,4523.420999921893,4616.520798095692,4264.517258650634,4243.602994021312,4192.431788194158,4228.629155366853,4269.278038028678,4238.25344432698,4326.297207127098,4469.978899623332,4284.998252627133,4471.764205456814,4318.049214045332,4468.4023112408095
71,64,6364.077027529661,6296.661333897872,6364.665429115268,6685.799082177506,4135.530494617832,5665.071960548389,5620.0212756978945,5646.5404482871245,4709.7323764027105,5641.007048085332,6214.065028315688,5932.226986730922,5549.103414896358,5839.891562477367,5668.359296686484,5913.911265619679
82,64,7214.400555872921,7475.253441950411,7134.756836095773,7435.255719107838,6678.854461885282,6471.1316276597945,7032.304843033688,6469.645020731469,7047.2945916531835,6469.754478970245,7238.314422843954,7240.713264658459,7047.827795100168,7127.633024341829,6964.842003182355,7230.4223519356165
113,64,8246.322011503338,8447.915117450106,8228.319613944936,8590.079386934534,6788.531337553082,6821.982054330157,6797.072805838901,6777.625406956049,7071.002414582796,6821.802710041942,7120.02416602076,8308.74327933255,7974.663954231583,8294.181302313862,7765.189548093282,8318.938030744115
47,65,3381.9600307547935,3666.166853743098,3378.1637252631203,3612.8457157306325,3367.68669768015,3224.418037781622,3241.6041355940242,3247.0568319407284,3329.4414809170544,3229.2995116115903,3285.7358081602797,3288.601703565482,3070.8777241241405,3276.002787706786,2963.6646925086025,3317.7697746827685
