id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
14,49,7847.19056825366,7945.0863437500075,7823.045815406373,8047.1828699644175,6752.268403633135,7285.206712280039,7115.978174952234,7260.032415516191,7114.914077477065,7278.703753825264,7419.408105770819,7845.9604265108655,7435.233844225624,7807.38956520587,7547.621770345225,7804.107963645833
90,49,5911.911989137254,6134.417828634204,5919.770933004469,6133.2481806622945,4843.43973929322,5848.5387283336895,5810.241653016086,5822.22917533299,4912.392990194972,5833.649427431259,5107.893850733538,5813.281748033677,5683.956567084224,5640.899975190934,5529.271873375323,5790.20271987263
1,50,5947.558528754349,5997.482234902701,5939.342462184945,6192.664136444434,5115.94413421014,4871.073337941948,5293.302460409563,4865.040114607147,5596.927106428625,4872.103749139371,6062.297100414544,5907.792023605194,5173.894761235277,5877.124729504301,5521.085550329035,5885.060027579729
45,50,4449.395298253043,4767.563731907805,4414.912018694056,4582.327521942891,4024.3467130768154,3966.629422877445,4149.923570591905,3958.461551624915,4115.572975352147,3957.307755931003,4554.107013641384,4422.44488132247,4342.9322012777975,4391.656456107269,4467.915346273371,4369.280938186927
95,51,4704.392522746386,4809.68312275197,4693.8393201311455,5010.40283343795,4223.888444424942,4490.292326758448,4336.980574671381,4384.284137204501,4427.492970471941,4480.111467896077,4686.464348251132,4689.220272922074,4416.614004387621,4627.170553532387,4363.818934381953,4681.929806537467
5,54,6856.131907565789,6784.20249352245,6875.359378581616,7177.23447483643,2669.9060062650615,4912.613374633922,6222.771579113217,5991.827687672685,5364.053594338219,5968.592148170175,6130.4200208259435,5975.905226480453,4294.668072803555,5015.82534909624,4911.9100469682935,5968.072391255299
18,56,7173.6844660324305,7256.405886231041,7184.515993694499,7453.875864175511,4853.5823137789785,6506.930699662103,5002.117527089561,4867.167285637473,6498.850549956999,4852.371841504735,7061.385462107558,6739.99829557331,6176.821412898217,6400.780214431851,6593.659475760642,6655.155039929921
77,56,7159.18721440274,7219.945679598902,7173.246491758674,7501.763443348291,3714.176533429972,6621.3124529914985,6253.3747696352875,6589.0099557138865,4530.9152771424815,6613.379062389934,5715.6800284050805,6899.040275327917,6027.227848982392,6561.003998186894,5116.233668889127,6678.122295569418
91,56,4655.329935690844,4881.775570740135,4653.207502746686,4854.279815758199,4275.450416327809,4304.708035227587,4245.492834749912,4285.792516945616,4615.282052078103,4302.737601942894,4615.849002324401,4584.842083530961,4497.594678538503,4545.301831730331,4614.9904383175835,4577.6423492094755
3,57,7641.540855108699,7794.1509486507875,7650.3954320219455,7877.993989028152,6180.424418499373,6673.961009879898,6593.714584016535,6590.494871635099,7070.743951319633,6664.379939211447,7354.343909965298,7498.181952018236,6724.049355008199,7522.332453190451,7213.111260544852,7524.391381297761
