id,a1,b1,gamma1,sigma1,ll,model
1,-1.49846849657036,4.46982852465069,5.0144799611188,0.697757364015848,-2350.04235333659,"os"
2,-0.294997279079387,2.12694969027693,5.219039802136,0.919974418424993,-3260.02647087182,"os"
3,-1.10123077535581,3.22472504155895,4.93498343792397,0.818276010425972,-3181.19785572172,"os"
4,-0.101945275593622,0.982189982830706,4.8634938697655,0.577546589245412,-1619.88857107299,"os"
5,-0.987008208813348,5.26215591817156,4.57055379532685,0.751094225429335,-2784.21190005538,"os"
7,-0.965121780269212,2.70079655766714,5.34608361649254,0.820237582787613,-2052.12658886908,"os"
8,-1.01737195437522,3.55091284116598,4.55924746186155,0.685318690884319,-3241.88330551328,"os"
9,-1.92123676895559,3.84108872877431,5.00009671834955,1.04406469263223,-2448.95044336348,"os"
10,-0.157954313181938,2.65106498139688,4.80935315411089,0.769115370511396,-2630.8651067374,"os"
11,-0.485919707838793,3.66489433946137,6.00934499124016,0.708889179765752,-2317.44657790689,"os"
12,-0.218343946003068,2.74456675370746,4.93703219786954,0.674062592028336,-2429.10417549081,"os"
13,-0.70278906636248,3.02252386592919,4.93613134296597,0.694635993203524,-3046.65631804149,"os"
14,-0.434331782041853,1.30434686676624,5.62166350302613,0.682206078701268,-3367.63718899933,"os"
15,-1.24888374050246,6.57904843512313,5.08619286518678,0.844533849628836,-2826.17789054377,"os"
16,-2.52613715327007,6.94806905437713,4.83937724932615,0.823391208054613,-2801.9183950685,"os"
17,-0.686892498349117,5.92081297137887,4.87943324785247,0.66946555430466,-3016.35301052585,"os"
18,-0.731793060951664,3.1008689636706,4.61257326726837,0.65522989034883,-2993.48904556058,"os"
19,-0.410925967194018,1.0758681644115,6.33686392856271,0.494482401621311,-1242.13962913542,"os"
20,-0.515029811598523,0.58575224267368,5.60938202692062,0.736558429944472,-2676.0650145674,"os"
21,-2.18244194320007,7.35660058664957,4.98444430830136,0.807311975459384,-3038.74123874251,"os"
22,0.31455118813921,0.470938572617309,4.54681897408386,0.471854839776087,-1124.66723518413,"os"
23,0.380510849702026,0.334346973010624,4.69364430030322,0.712121222260116,-1872.81353054166,"os"
24,-1.40199975621311,6.0976393580359,4.78410486678408,0.798948496162939,-3563.13306486567,"os"
25,-1.06279468330011,3.08747352360614,4.56772805764257,0.592756306397128,-2750.61747419299,"os"
26,-0.649570907516992,4.4825891397113,6.30198040557115,0.558034999957054,-820.564058904596,"os"
27,-0.460571668882771,3.98400067491382,5.31230009117903,0.756501230346541,-1880.81423357958,"os"
28,-0.245264660120193,2.12288698195072,4.97937004644316,0.687956712267871,-1117.00790495209,"os"
29,-0.219041228877302,-0.358979294929342,5.36170271547228,0.843648925924428,-2171.87132448788,"os"
30,-1.30852176652177,5.14465508789078,5.67539636673495,0.975328802014612,-3204.70922205364,"os"
31,-0.744391598820788,2.83798766685744,5.50929060751256,0.725925604520592,-3061.88399642618,"os"
32,-0.050058287426955,1.44938011937197,6.11440326783914,0.47585671136498,-1030.68124838567,"os"
33,-2.57234046690074,7.66517318195886,5.33323014215267,0.648633376620967,-2773.76126467616,"os"
34,1.27535967073727,-2.70685376747149,5.49865866327261,0.787775852203728,-1710.39500933294,"os"
35,-1.64599926577068,9.23021969493982,4.89998108982533,0.864340938929462,-3701.04859745259,"os"
36,-1.34677498221162,8.2323617335456,5.0229554464003,0.699103076691032,-3461.98244021924,"os"
37,-0.594647686351013,3.30518047747114,5.36430346065714,0.588179958820881,-2669.08963418395,"os"
38,-0.382984624241284,1.04137088115658,4.9095251958262,0.631854011074787,-2846.89020175217,"os"
39,-0.0953776277245072,1.25633579406951,4.54891896517017,0.539730204314924,-1633.38635772118,"os"
40,-0.445551853132904,3.43292727881788,5.89354461668345,0.65569892800148,-1764.48642433601,"os"
41,0.664481959763183,1.07188434433538,4.90732909213542,0.767405241519198,-1776.31115683469,"os"
43,0.135981019210508,0.211040710766599,4.63003703288837,0.432199807695744,-1396.23153515013,"os"
45,-0.49091610511229,2.12900556577969,6.32129976029984,0.462311499729131,-1663.22752544943,"os"
